osmid,surface,highway,maxspeed,lit,sidewalk,cycleway,oneway,reversed,length,geometry,lanes,source:maxspeed,cycleway:left,cycleway:right,cycleway:both,width,oneway:bicycle,access,parking:lane:both,parking:lane:left,lane_score,maxspeed_score,parking,parking_score,facility_type,separated_bike_la,shared_bike_lane,no_access_bike,cycle_track,dirt_cycle_track,no_bike_infra,path_cycle,score
"[952072733, 952072726]",asphalt,tertiary,50,yes,both,no,False,True,106.256,"LINESTRING (9.9636201 53.5792656, 9.9637069 53.5792623, 9.9638021 53.5792498, 9.9638828 53.579231, 9.963972 53.5792102, 9.9645955 53.5790594, 9.9649107 53.5789842, 9.9649613 53.5789728, 9.9651254 53.578936)",2,DE:urban,,,,,,,,,2,5,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,4.574048835888693
23253267,asphalt,residential,30,yes,,,False,True,5.882,"LINESTRING (9.963874 53.5798339, 9.9639496 53.5798059)",2,,,,no,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
23253267,asphalt,residential,30,yes,,,False,False,62.584999999999994,"LINESTRING (9.963874 53.5798339, 9.963773 53.5798712, 9.9633872 53.5800137, 9.9631766 53.5798297)",2,,,,no,,,,,,2,3,0,0,no_bike_infra,0,0.0,0.0,0.0,0.0,1.0,0.0,3.831289040317999
952072734,asphalt,primary,50,yes,right,,True,False,69.41900000000001,"LINESTRING (9.963874 53.5798339, 9.9635958 53.5794836, 9.9635622 53.5794438, 9.9634253 53.5792693)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
952072728,asphalt,primary,50,yes,both,track,False,True,22.172,"LINESTRING (9.9640599 53.5799646, 9.9641881 53.5801489)",4,DE:urban,,,,,,,,,4,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,5.285349233390091
952072734,asphalt,primary,50,yes,right,,True,False,19.022,"LINESTRING (9.9640599 53.5799646, 9.963874 53.5798339)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
"[972669920, 972669918, 972669919]",paving_stones,service,30,yes,,,False,True,60.378,"LINESTRING (9.9682583 53.5843687, 9.9686655 53.5844602, 9.9689164 53.5845175, 9.9690338 53.5845444, 9.9691128 53.5845624)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
218907472,asphalt,primary,50,yes,right,,True,False,25.13,"LINESTRING (9.9691128 53.5845624, 9.9691583 53.5844914, 9.9692408 53.5843834, 9.9692646 53.5843553)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
"[972669920, 972669918, 972669919]",paving_stones,service,30,yes,,,False,False,60.378,"LINESTRING (9.9691128 53.5845624, 9.9690338 53.5845444, 9.9689164 53.5845175, 9.9686655 53.5844602, 9.9682583 53.5843687)",1,,,,,,,,,,1,3,0,0,path_cycle,0,0.0,0.0,0.0,0.0,0.0,1.0,3.43333333333333
218907472,asphalt,primary,50,yes,right,,True,False,4.448,"LINESTRING (9.9690889 53.5845998, 9.9691128 53.5845624)",2,DE:urban,no,track,,,,,,,2,5,0,0,shared_bike_lane,0,1.0,0.0,0.0,0.0,0.0,0.0,4.089437819420754
